0x0001	 [X]
0x0250	Hunter
0x0251	Pirate
0x0253	Mercenary[X]
0x0254	Bandit
0x0255	Bergen
0x0256	Monster[X]
0x0257	Entombed
0x0258	Maelduin
0x0259	Cyclops[X]
0x025A	Fomortiis[X]
0x025C	Gunnar
0x025E	Mansel
0x025F	Dara
0x0262	Frelian[X]
0x0263	Ofenloch
0x0264	Citizen[X]
0x0265	Prisoner
0x0267	Kitozawa's[X]
0x0268	Wall
0x0269	Snag
0x026A	Mark
0x026B	Evil
0x026C	Summonern[X]
0x026D	Summon
0x0274	Storch's little brother.[NL]Innocent and kind-hearted.
0x027B	Titus' bodyguard. [NL]Quick to anger, but loyal.
0x028A	Kuchingi cleric with a kind heart.[NL]Waluyo's bethrothed.
0x028C	A Kuchingi brawler[NL]with a hearty laugh.
0x0290	Leader of the Manakete tribe. He was[NL]turned into a draco zombie by Lyon.[X]
0x0293	Dark mage of Orebro.[NL]Wise, yet playful.[NL]
0x0298	A mercenary serving Lord Gradin.[NL]Notorious for taking dirty jobs.
0x029C	An opportunistic brigand[NL]with a lust for victory.
0x029E	Former Colonel in Mahala's army.[NL]Exiled for his crimes and extremist views.
0x02A1	Knight captain from Nevan.[NL]Loathes Kuching.
0x02A5	Commander of a cavalry[NL]unit in Belaro's army.
0x02A7	The crown prince of Grado. He's fallen[NL]under the control of the Demon King.
0x02AB	A mercenary fighting as part of[X][NL]Binks's force.
0x02AC	One of the treasure hunters who[X][NL]have laid claim to this region.[X]
0x02B0	Members of a cult,[NL]sworn on a forbidden oath.
0x02B2	The Demon King, lord of darkness. His[X][NL]sole desire is to remake the world.[X]
0x02B5	The pontifex of Rausten. He is a[NL]compassionate and pious ruler.
0x02B7	An old woman of Caer Pelyn. Over 100[NL]years in age, she is a font of wisdom.
0x02BA	A knight of Frelia, sworn in service[NL]of Hayden, the Sage King.[X]
0x02BE	Temp.: Enemy Boss[X]
0x02C2	Paladin[X]
0x02C4	General[X]
0x02C5	Thief[X]
0x02C7	Hero
0x02C8	Myrmidon
0x02C9	Swordmaster[X]
0x02CA	Assassin
0x02CB	Archer
0x02CC	Sniper
0x02CF	Wyvern Lord[X]
0x02D1	Mage
0x02D2	Sage
0x02D3	Mage Knight[X]
0x02D4	Bishop
0x02D5	Nomad[X]
0x02D6	Nmd Trooper[X]
0x02D7	Manakete
0x02D9	Pupil[X]
0x02DB	Rogue[X]
0x02DC	Axe Fighter[X]
0x02DD	Warrior[X]
0x02DE	Brigand[X]
0x02DF	Berserker[X]
0x02E0	Great Knight
0x02E1	Shaman
0x02E2	Druid[X]
0x02E3	Summoner
0x02E4	Monk
0x02E5	Bard
0x02E6	Priest
0x02E8	Falcoknight[X]
0x02E9	Cleric
0x02EA	Troubadour
0x02EB	Valkyrie
0x02EC	Dancer
0x02ED	Soldier[X]
0x02EE	Pirate
0x02EF	Necromancer[X]
0x02F0	Fleet[X]
0x02F1	Phantom[X]
0x02F3	Entombed
0x02F4	Bonewalker
0x02F5	Halberdier
0x02F8	Cyclops[X]
0x02F9	Mauthe Doog[X]
0x02FA	Gwyllgi[X]
0x02FC	Maelduin
0x02FD	Mogall
0x02FE	Arch Mogall[X]
0x02FF	Gorgon
0x0300	Gorgon Egg
0x0301	Mage Armor
0x0303	Draco Zombie
0x0304	Demon King
0x0305	Civilian
0x0306	Pontifex
0x0307	Queen[X]
0x0308	Supply
0x0309	Noble heirs to a ruling house.[NL]They possess great potential.[X]
0x030D	Mounted knights with swift movement.[NL]Equip: Lances.
0x030E	Mounted knights with superior[X][NL]abilities. Equip: Swords, lances.[X]
0x0311	Multitalented knaves with an eye for[NL]riches. Equip: Swords.
0x0312	Well-balanced professional soldiers-[NL]for-hire. Equip: Swords.
0x0313	Seasoned veterans with remarkable[X][NL]skill. Equip: Swords, axes.[X]
0x0316	Masters of the killing arts.[NL]Equip: Swords. Skill: Silencer.[X]
0x0317	Warriors who use bows to attack from[NL]afar. Equip: Bows.
0x0318	Archers of unparalleled accuracy.[X][NL]Equip: Bows.
0x031A	High-flying knights vulnerable only to[NL]bows and magic. Equip: Lances.
0x031C	Mounted knights with swift movement.[NL]Equip: Swords.
0x031D	Magic wielders with solid skills but low[NL]physical strength. Equip: Anima.
0x031F	Knights trained in both anima and[X][NL]staves. Equip: Anima, staves.[X]
0x0321	Mounted plainsmen with good[X][NL]movement. Armed with bows.
0x0322	An honorific given to nomads of[X][NL]great skill. Equip: Bows, swords.[X]
0x0323	Mysterious tribesmen who can turn[X][NL]into dragons. Equip: Dragonstone.[X]
0x0325	Mages in training with lofty[NL]aspirations. Equip: Anima.
0x0326	Knaves who need no tools or keys to[X][NL]open locks. Equip: Swords. Skill: Pick.[X]
0x0327	Ruffians with great strength but[NL]poor defense. Equip: Axes.
0x0328	Stalwart warriors whose power is[NL]their pride. Equip: Axes, bows.[X]
0x0329	Mighty mercenaries who thrive[X][NL]in mountains. Equip: Axes.
0x032A	Fighters at home both in mountains[NL]and at sea. Equip: Axes.
0x032C	Wielders of magic who are stronger,[X][NL]but slower, than mages. Equip: Dark.
0x032D	Wielders of deep and ancient magic.[X][NL]Equip: Dark, staves.[X]
0x032F	Users of light magic with high[NL]resistance. Equip: Light.[X]
0x0330	Spiritual guides who use sacred[X][NL]staves to heal allies. Equip: Staves.[X]
0x0331	Musicians whose melodies aid[NL]allies. Unable to attack.[X]
0x0332	Airborne knights who resist magic but[X][NL]are weak against bows. Equip: Swords.[X]
0x0333	Airborne knights who resist magic but[X][NL]are weak against bows. Equip: Lances.[X]
0x0334	Swift sky warriors who shrug off[NL]magic attacks. Equip: Swords, lances.[X]
0x0335	Holy women who use sacred staves to[X][NL]heal their allies. Equip: Staves.[X]
0x0336	Maidens who wield staves from[X][NL]horseback. Equip: Staves.[X]
0x0337	Battle maidens who wield both staves[NL]and light magic. Equip: Light, staves.
0x0338	Dancers whose dances revitalize[X][NL]their allies. They cannot attack.[X]
0x033A	Tough brawlers who call the[X][NL]sea their home. Equip: Axes.
0x033B	Master of the Dark Stone who uses[X][NL]dark magic to command corpses.
0x033C	Warships that patrol the open seas.[X][NL]They carry powerful ballistae.
0x033D	Phantom warriors who possess great[NL]strength but vanish when attacked.
0x033F	Reanimated corpses. They're not fast,[X][NL]but their talons rend flesh with ease.
0x0340	Dead warriors given will by dark magic.[X][NL]They wield a variety of weapons.
0x0342	Ruffians with great strength but[NL]poor defense. Equip: Bows.
0x0344	One-eyed giants who use their[X][NL]strength to wield huge axes.
0x0345	Blood-hungry demon dogs that attack[X][NL]with keen-edged fangs.
0x0346	Savage, three-headed hellhounds.[NL]Their fangs are cruel death dealers.
0x0347	A horse. Easily spooked.
0x0348	Immensely fast and strong creatures[X][NL]who hunt with axes and bows.
0x0349	Perilous floating orbs filled with[NL]blighting dark magic.[X]
0x034A	Mogall whose dread power exceeds[NL]that of their lesser cousins.[X]
0x034B	Comely and cursed, these creatures[NL]turn all who behold them into stone.
0x034C	Eggs of lovely and deadly gorgons.
0x034F	The revived corpse of a dragon. Its[X][NL]putrid breath decays all it touches.
0x0350	This foul being is the master of the[NL]dark. Its power exceeds mortal ken.[X]
0x0351	An innocent peasant lacking any[X][NL]combat skills at all.[X]
0x0352	Spiritual leader of Rausten. He claims[NL]ancestry with the saintly Latona.[X]
0x0353	The kingdom's highest authority. She[NL]is a popular ruler of great virtue.[X]
0x0354	Iron Sword
0x0355	Slim Sword
0x0356	Steel Sword[X]
0x0357	Silver Sword
0x0358	Iron Blade
0x0359	Steel Blade[X]
0x035A	Silver Blade
0x035C	Rapier
0x035D	Brave Sword[X]
0x035E	Shamshir
0x035F	Killing Edge
0x0360	Armorslayer[X]
0x0361	Wyrmslayer
0x0362	Light Brand[X]
0x0363	Runesword[X]
0x0364	Lancereaver[X]
0x0365	Zanbato[X]
0x0366	Sieglinde[X]
0x0368	Wind Sword
0x0369	Iron Lance
0x036A	Slim Lance
0x036B	Steel Lance[X]
0x036C	Silver Lance
0x036E	Brave Lance[X]
0x036F	Killer Lance
0x0370	Horseslayer[X]
0x0371	Javelin[X]
0x0372	Spear[X]
0x0373	Axereaver[X]
0x0374	King Sword
0x0375	Siegmund
0x0377	Dragonspear[X]
0x0378	Heavy Spear[X]
0x0379	Short Spear[X]
0x037A	Iron Axe
0x037B	Steel Axe[X]
0x037C	Silver Axe
0x037E	Brave Axe[X]
0x037F	Killer Axe
0x0380	Halberd[X]
0x0381	Hammer
0x0382	Devil Axe[X]
0x0383	Hand Axe
0x0384	Tomahawk
0x0385	Swordreaver[X]
0x0386	Swordslayer[X]
0x0387	Dragon Axe
0x0388	Battle Axe
0x038A	Hatchet[X]
0x038B	Iron Bow
0x038C	Steel Bow[X]
0x038D	Silver Bow
0x038E	Wizard Bow
0x038F	Killer Bow
0x0390	Brave Bow[X]
0x0392	Longbow[X]
0x0393	Ballista
0x0394	Iron Ballista[X]
0x0395	Killer Ballista[X]
0x0398	Dragonstone[X]
0x0399	Stone Shard[X]
0x039A	Demon Light[X]
0x039B	Ravager[X]
0x039C	Nightmare[X]
0x03A1	Soma Thera
0x03A2	Hand Bow
0x03A3	Cleave Bow
0x03A4	Wind Spear
0x03A7	Yabusame
0x03A8	Emblem Seal[X]
0x03A9	Fire
0x03AA	Thunder[X]
0x03AB	Elfire
0x03AC	Alacalibur
0x03AD	Bolting[X]
0x03AE	Fimbulvetr
0x03AF	Orkaan[X]
0x03B0	Lightning[X]
0x03B1	Shine[X]
0x03B2	Divine
0x03B3	Purge[X]
0x03B4	Aura
0x03B6	Flux
0x03B7	Luna
0x03B8	Nosferatu[X]
0x03B9	Fenrir[X]
0x03BD	Stone[X]
0x03BE	Evil Eye
0x03BF	Long Dao
0x03C1	Shadowshot
0x03C2	Heal
0x03C3	Mend
0x03C4	Recover[X]
0x03C5	Physic
0x03C6	Fortify[X]
0x03C7	Restore[X]
0x03C8	Silence[X]
0x03C9	Sleep[X]
0x03CA	Berserk[X]
0x03CB	Warp
0x03CC	Rescue
0x03CD	Torch[X]
0x03CE	Hammerne
0x03CF	Unlock
0x03D0	Barrier[X]
0x03D1	Gezond
0x03D2	Dance[X]
0x03D3	Play
0x03D4	Angelic Robe
0x03D5	Energy Ring[X]
0x03D6	Secret Book[X]
0x03D7	Speedwing[X]
0x03D8	Goddess Icon
0x03D9	Dragonshield
0x03DA	Talisman
0x03DC	Body Ring[X]
0x03DD	Hero Crest
0x03DE	Knight Crest
0x03DF	Orion's Bolt
0x03E0	Elysian Whip
0x03E1	Lover's Ring
0x03E2	Chest Key[X]
0x03E3	Door Key
0x03E4	Lockpick
0x03E5	Vulnerary[X]
0x03E6	Elixir
0x03E7	Pure Water
0x03E8	Antitoxin[X]
0x03E9	Torch[X]
0x03EA	Fili Shield[X]
0x03EB	Member Card[X]
0x03EC	Silver Card[X]
0x03ED	Gold Gem
0x03EE	Black Gem[X]
0x03EF	White Gem[X]
0x03F0	Blue Gem
0x03F1	Red Gem[X]
0x03F2	Gold
0x03F4	Earth Seal
0x03F6	Ocean Seal
0x03F7	Harvest Ring
0x03F8	Royal Band
0x03F9	1 Gold
0x03FA	5 Gold
0x03FB	10 Gold[X]
0x03FC	50 Gold[X]
0x03FD	100 Gold
0x03FE	150 Gold
0x03FF	500 Gold
0x0400	3,000 Gold
0x0401	5,000 Gold
0x0402	Juna Fruit
0x0404	 [X]
0x0405	 [X]
0x0406	 [X]
0x0407	 [X]
0x0408	 [X]
0x0409	 [X]
0x040A	 [X]
0x040C	Effective against cavalry and armor.
0x040D	Can strike consecutively.[X]
0x040E	Improves critical hit rate.[X]
0x040F	Improves critical hit rate.[X]
0x0412	Imbued with light magic.
0x0413	Imbued with dark magic.[X]
0x0416	The Sacred Twin storm blade. Str +5.
0x0419	 [X]
0x041A	 [X]
0x041B	 [X]
0x041C	 [X]
0x041E	Can strike consecutively.[X]
0x041F	Improves critical hit rate.[X]
0x0420	Effective against cavalry.
0x0421	Doubles as ranged attack.[X]
0x0422	Doubles as ranged attack.[X]
0x0424	Strong against cavalry, knights.
0x0425	The Sacred Twin fire lance. Str +5.[X]
0x0429	Doubles as ranged attack.[X]
0x042A	 [X]
0x042B	 [X]
0x042C	 [X]
0x042E	Can strike consecutively.[X]
0x042F	Improves critical hit rate.[X]
0x0432	Might injure its wielder.[X]
0x0433	Doubles as ranged attack.[X]
0x0434	Doubles as ranged attack.[X]
0x0439	Strong, but difficult to wield.[X]
0x043B	 [X]
0x043C	 [X]
0x043D	 [X]
0x043F	Improves critical hit rate.[X]
0x0442	Extended attack range.
0x0443	Long-range weapon.
0x0444	Super long-range weapon.
0x0445	Improves critical hit rate.[X]
0x0448	A stone imbued with mysterious might.[X][NL]Myrrh draws strength from it.[X]
0x0449	DUMMY[X]
0x044A	A malefic flash that destroys[X][NL]everything it touches.
0x044B	A horrific blow that invites[NL]the destruction of all.[X]
0x044C	Lulls all enemies within range[NL]into a deep slumber.
0x044F	A foul talon meant to rend flesh.[X]
0x0452	A sharp, piercing fang.[X]
0x0453	A long, daggerlike fang.
0x0454	Effective against monsters.[X]
0x0455	Effective against monsters.[X]
0x0457	Effective against monsters.[X]
0x0458	 [X]
0x0459	 [X]
0x045A	 [X]
0x045B	Extended attack range.
0x045D	 [X]
0x045F	 [X]
0x0460	 [X]
0x0461	 [X]
0x0463	 [X]
0x0465	 [X]
0x0466	Negates enemy resistance.[X]
0x0467	Drains enemy HP into caster.
0x0468	Long-range dark magic.
0x0469	 [X]
0x046A	A Sacred Twin tome. Skill +5.[X]
0x046C	Turns targets to stone for a while.[X]
0x046D	 [X]
0x046F	 [X]
0x0470	Long-range dark magic bolt.[X]
0x0471	Restores HP to allies in[NL]adjacent spaces.
0x0472	Restores many HP to allies[NL]in adjacent spaces.[X]
0x0473	Restores all HP to allies[X][NL]in adjacent spaces.[X]
0x0474	Restores HP to allies[X][NL]at a distance.
0x0475	Restores all HP to allies[X][NL]nearby.[X]
0x0476	Returns allies to normal[NL]condition. (Cures sleep, etc.)
0x0477	Halts all enemy magic[X][NL]for several turns.
0x0478	Puts enemies to sleep for[X][NL]several turns.
0x0479	Sends enemies into a[NL]berserker rage.[X]
0x047B	Moves allies from distant[X][NL]spaces to adjacent ones.
0x047C	Lights an area. The light[X][NL]grows weaker each turn.[X]
0x047D	Restores an adjacent ally's[X][NL]weapons to new condition.[X]
0x047E	Unlocks doors, even from[NL]a distance.[X]
0x047F	Increases magic resistance[NL]of adjacent allies briefly.[X]
0x0481	A dance that allows[X][NL]allies to move again.[X]
0x0482	A song that allows[NL]allies to move again.[X]
0x0484	Increases Mag or Str by[X][NL]2 points. Vanishes after use.[X]
0x0485	Increases Skill by 2 points.[NL]Vanishes after use.[X]
0x0486	Increases speed by[NL]2 points. Vanishes after use.[X]
0x0487	Increases luck by[X][NL]2 points. Vanishes after use.[X]
0x0488	Increases defense by[NL]2 points. Vanishes after use.[X]
0x0489	Increases resistance by[X][NL]2 points. Vanishes after use.[X]
0x048A	Increases movement by[X][NL]2 points. Vanishes after use.[X]
0x048B	Increases constitution by[X][NL]2 points. Vanishes after use.[X]
0x048C	For mercenaries, myrmidons,[X][NL]and fighters Lv. 10 and up.[X]
0x048D	For knights and cavaliers[X][NL]Lv. 10 and up.
0x048E	For archers[X][NL]Lv. 10 and up.
0x048F	For pegasus knights and[X][NL]wyvern riders Lv. 10 and up.
0x0491	Opens chests.[X]
0x0492	Opens doors in[NL]adjacent spaces.
0x0493	Opens doors and chests.[X][NL]Usable only by thieves.[X]
0x0495	A powerful solution that[NL]restores all HP.
0x0496	A draught that boosts Res.[NL]Grows weaker each turn.[X]
0x0497	A medicinal solution that[X][NL]cures poison.[X]
0x0498	A staff with burning pitch.[X][NL]Grows dimmer each turn.[X]
0x0499	An amulet that protects fliers[NL]from arrows.
0x049A	If someone with this card[X][NL]stops in a suspicious space...
0x049B	A special card that reduces[X][NL]the cost of all items by half.
0x049C	A valuable gemstone worth[X][NL]20,000 gold.
0x049D	A valuable gemstone worth[X][NL]15,000 gold.
0x049E	A valuable gemstone worth[X][NL]10,000 gold.
0x04A0	An uncommon gemstone[NL]worth 2,500 gold.[X]
0x04A1	Arckady's prf hatchet. Reaver.
0x04A2	A trap that damages units[X][NL]that step on it.
0x04A3	A device that blocks units[NL]from entering spaces.[X]
0x04A4	A device that negates[X][NL]enemy critical attacks.[X]
0x04A7	For use by thieves and[NL]pirates Lv. 10 and up.
0x04AA	Give this to a worthy unit[NL]and see what happens.[X]
0x04AC	Draco Zombie only.
0x04AD	Manakete only.
0x04AE	Creatures only.[X]
0x04AF	Restores some HP.[X]
0x04B0	Restores more HP.[X]
0x04B1	Restores all HP.
0x04B2	Restores HP to[NL]distant allies.[X]
0x04B3	Restores HP to all[NL]allies in one area.[X]
0x04B4	Restores allies to[NL]normal status.
0x04B5	Blocks enemy magic.[X]
0x04B6	Puts enemies to sleep.
0x04B7	Drives enemies to[X][NL]attack wildly in a[NL]frenzy of rage.[X]
0x04B8	Warps allies to[X][NL]other spaces.[X]
0x04B9	Warps allies to a[X][NL]space adjacent to[X][NL]the staff wielder.
0x04BA	Lights up an area.
0x04BB	Restores items to[X][NL]new condition.
0x04BC	Opens doors.
0x04BD	Raises resistance.
0x04BE	Restores all HP as[NL]well as allies' status.[X]
0x04BF	Allows allies[X][NL]to move again.
0x04C0	Allows allies[X][NL]to move again.
0x04C1	Raises Max HP.
0x04C2	Raises either[X][NL]strength or magic.
0x04C3	Raises skill.[X]
0x04C4	Raises speed.[X]
0x04C5	Raises luck.
0x04C6	Raises defense.[X]
0x04C7	Raises resistance.
0x04C8	Raises movement.
0x04C9	Raises constitution.
0x04CA	Use this on a worthy[NL]mercenary, fighter,[X][NL]or myrmidon.
0x04CB	Use this on a worthy[NL]cavalier or knight.[X]
0x04CC	Use this on a worthy[NL]archer.[X]
0x04CD	Use this on a worthy[NL]master of a winged[NL]mount.
0x04CE	Use this on a worthy[NL]wielder of magic[NL]power and staves.[X]
0x04CF	Opens chests.[X]
0x04D0	Opens doors.
0x04D1	Universal lockpicks[X][NL]designed for thieves.[X]
0x04D3	Restores all HP.
0x04D4	Reduces damage[NL]from magic attacks.[X]
0x04D5	Cures poison.[X]
0x04D6	Lights an area.[X]
0x04D7	Protects airborne[X][NL]units from bows.
0x04D8	Grants access to[NL]secret shops.[X]
0x04D9	Reduces the cost[NL]of items.[X]
0x04DA	 [X]
0x04DB	Units that enter[NL]spaces where these[NL]are take damage.
0x04DC	Units cannot enter[NL]spaces where these[NL]have been placed.[X]
0x04DD	Negates enemies'[NL]critical attacks.[X]
0x04DE	Use this on a unit Lv.[NL]10 and up who has[X][NL]yet to change class.
0x04E0	Use this on a worthy[NL]thief or pirate.
0x04E1	Have Storch use this[NL]when he's ready.[X]
